已清项目/未清项目符号,总账科目,总账科目长文本,冲销科目记帐,凭证类型,凭证编号,物料,行项目,过账日期,凭证日期,借/贷标识,过账码,业务范围,业务部门描述,本币金额,本币,以凭证货币计的金额,凭证货币,税码,业务地点,文本,客户,供应商,贸易伙伴名,税号 2,成本中心,名称,订单,分配,参考代码 1,参考代码 2,参考码3,清帐日期,清帐凭证,冲销科目类型
,21051109,其他应付款_一般,55210121,K1,3400002913,,1,2025/12/29,2025/12/22,H,31,1000,fashion common,-67.00,CNY,-67.00,CNY,V4,8000,单号： DGFK-202512220225——北京鑫聚盛业-11月微商城销售分佣,,8000183,北京鑫聚盛业服装服饰有限公司,,,,,D049,,,,2026/1/9,7000000013,
,,,,,,,,,,,,,,-67.00,CNY,,,,,,,,北京鑫聚盛业服装服饰有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55210121,K1,3400002862,,1,2025/12/26,2025/12/22,H,31,1000,fashion common,-285.00,CNY,-285.00,CNY,V4,8000,单号： DGFK-202512220223——常春藤-11月微商城销售分佣,,8000003,常春藤(广州)投资有限公司,,,,,D027,,,,2026/1/9,7000000003,
,,,,,,,,,,,,,,-285.00,CNY,,,,,,,,常春藤(广州)投资有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55210121,K1,3400002864,,1,2025/12/26,2025/12/22,H,31,1000,fashion common,"-7,769.00",CNY,"-7,769.00",CNY,V4,8000,单号： DGFK-202512220220——成都宝康-11月微商城销售分佣,,8000009,成都市宝康服饰商贸有限公司,,,,,D011,,,,2026/1/9,7000000007,
,,,,,,,,,,,,,,"-7,769.00",CNY,,,,,,,,成都市宝康服饰商贸有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,55210121,K1,3400002851,,1,2025/12/26,2025/12/22,H,31,1000,fashion common,-60.00,CNY,-60.00,CNY,V4,8000,单号： DGFK-202512220229——重庆渲格-11月微商城销售分佣,,8000006,重庆渲格商贸有限公司,,,,,D014,,,,2026/1/9,7000000005,
,,,,,,,,,,,,,,-60.00,CNY,,,,,,,,重庆渲格商贸有限公司,,,,,,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,36,2025/2/28,2025/2/28,S,21,1000,fashion common,"2,058,065.82",CNY,"2,058,065.82",CNY,,8000,调整VENDOR,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,37,2025/2/28,2025/2/28,S,21,1000,fashion common,"8,383.56",CNY,"8,383.56",CNY,,8000,调整信用证手续费202303（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,134,2025/2/28,2025/2/28,H,31,1000,fashion common,"-61,150.68",CNY,"-61,150.68",CNY,,8000,计提信用证手续费202410（CNY：1.2亿）新韩连带保证金,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,135,2025/2/28,2025/2/28,H,31,1000,fashion common,"-40,767.12",CNY,"-40,767.12",CNY,,8000,计提信用证手续费20241001-20241031（CNY：8kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,136,2025/2/28,2025/2/28,H,31,1000,fashion common,"-59,178.08",CNY,"-59,178.08",CNY,,8000,计提信用证手续费202410（CNY：1.2亿）新韩连带保证金,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
